test_row_id,narrative_hash,ground_truth_labels,predicted_labels,classification_exact_match,classification_partial_match,ner_entities,legal_results_count,legal_grounded,unsupported_legal_claim_detected,anti_hallucination_pass,follow_up_required,final_report_generated,pipeline_status
WSL_0557,bb88bede7e87f214,WH,WH,True,True,NONE,5,True,False,True,False,True,SUCCESS
WSL_0682,c996260ed84fcee9,SH,SH,True,True,PERP_REL:1,8,True,False,True,False,True,SUCCESS
WSL_0578,0ea2a577208579df,SH,SH,True,True,LOCATION:1,8,True,False,True,False,True,SUCCESS
WSL_0796,2759b547e37d645f,DV,DV,True,True,PERP_REL:1,8,True,False,True,False,True,SUCCESS
WSL_0086,6afb1c387764cf94,CA,CA,True,True,NONE,5,True,False,True,False,True,SUCCESS
WSL_0243,6e5bea03956a813c,CA,CA,True,True,PLATFORM:1,5,True,False,True,False,True,SUCCESS
WSL_0699,05a5de9875409af7,CA,CA,True,True,PLATFORM:1,5,True,False,True,False,True,SUCCESS
WSL_1007,e6c110965285f045,DV,DV,True,True,PERP_REL:1|TIME_FREQ:1,8,True,False,True,False,True,SUCCESS
WSL_0160,b990b471761ffd4f,WH,WH,True,True,NONE,5,True,False,True,False,True,SUCCESS
WSL_0525,d9bbfbd83c7310a4,ST,ST,True,True,PLATFORM:1,3,True,False,True,False,True,SUCCESS
WSL_0036,73a7b30d7f26cc7f,SH,SH,True,True,NONE,8,True,False,True,False,True,SUCCESS
WSL_0541,675bb030ac333cd3,DV,,False,False,PERP_REL:1,0,True,False,True,False,True,CLASSIFICATION_ERROR
WSL_0171,711885af32eddf4f,ST,ST,True,True,LOCATION:1,3,True,False,True,False,True,SUCCESS
WSL_0655,05646b737ebed5c1,CA,CA,True,True,NONE,5,True,False,True,False,True,SUCCESS
WSL_1024,64b5527ff63fe236,SH,SH|WH,False,True,PERP_REL:1,13,True,False,True,False,True,SUCCESS
WSL_0990,3080aaa51de204eb,WH,WH,True,True,PERP_REL:1,5,True,False,True,False,True,SUCCESS
WSL_0979,7aca6c749a427b87,CA,CA,True,True,PLATFORM:1,5,True,False,True,False,True,SUCCESS
WSL_0485,ab5564596229db32,OV,OV,True,True,PERP_REL:1,1,True,False,True,False,True,SUCCESS
WSL_0734,106d5a499f0461dd,DV,DV,True,True,PERP_REL:1|LOCATION:1|TIME_FREQ:1,8,True,False,True,False,True,SUCCESS
WSL_0900,9daee5040f03cbbc,OV,OV,True,True,PERP_REL:1,1,True,False,True,False,True,SUCCESS
WSL_0096,120c11f5d3a2ac08,ST,ST,True,True,TIME_FREQ:1,3,True,False,True,False,True,SUCCESS
WSL_0564,ec6cecd316b94979,CA,CA,True,True,LOCATION:1|PLATFORM:1,5,True,False,True,False,True,SUCCESS
WSL_0241,049689351f7f36fb,DV|OV,DV|OV,True,True,PERP_REL:1|TIME_FREQ:1,9,True,False,True,False,True,SUCCESS
WSL_0743,6b6bfc95579d58a6,WH,WH,True,True,NONE,5,True,False,True,False,True,SUCCESS
