evaluation_split,evaluation_row_id,evaluation_label_set,best_train_row_id,best_train_label_set,cosine_similarity,evaluation_text_hash,best_train_text_hash,evaluation_text_preview,best_train_text_preview
validation,WSL_0580,SH|WH,WSL_0196,SH|WH,0.7958,d6824359615a,1b6216ca14f9,my team lead touched me without consent and excludes me from,my supervisor touched me without consent and excludes me fro
validation,WSL_0161,ST,WSL_0410,ST,0.8239,9e9bd6ce8282,a4b718f33f4e,a classmate keeps messaging me obsessively despite being blo,my neighbor keeps messaging me obsessively despite being blo
validation,WSL_0681,OV,WSL_0482,OV,0.7963,29460f155ebf,c4cfa3b92b81,my family vandalized my shop and left a threatening note.,my in-laws vandalized my shop and left a threatening note.
validation,WSL_1025,SH,WSL_0181,SH,0.1643,f8d4df02da5d,9dbc679f9e09,i still can't fully process what happened — a family friend ,my neighbor forced himself on me despite me saying no clearl
validation,WSL_0163,SH,WSL_0500,SH,0.7007,462fd511b619,b26b03bd189f,a man in the metro catcalled and followed me for several blo,a delivery man catcalled and followed me for several blocks.
validation,WSL_0706,OV,WSL_0972,OV,0.8399,cc6b33a2d029,3bd65d665431,a local group are trying to evict me illegally with intimida,my family are trying to evict me illegally with intimidation
validation,WSL_0812,DV,WSL_0815,DV,0.6233,e9effd7eeeb5,811ba5674c06,my in-laws threatened to kill me if i told my parents. this ,my stepfather threatened to kill me if i told my parents.
validation,WSL_0153,OV,WSL_0248,OV,0.7061,6ef0c41438ea,b2f15acebe63,my landlord's men are threatening me over a property dispute,my family are threatening me over a property dispute.
validation,WSL_0789,ST,WSL_0758,ST,0.6358,8be944a0828e,53cd22217329,a man i matched with on a dating app keeps calling me from d,a classmate keeps calling me from different numbers.
validation,WSL_0809,CA,WSL_0179,CA,0.7685,de4f520e25d7,ae204b24f401,my former colleague created a fake profile using my photos t,a stranger online created a fake profile using my photos to 
validation,WSL_0874,DV,WSL_0376,DV,0.8594,23077117033e,051778911f88,my stepfather threatens to throw me out of the house. it has,my mother-in-law threatens to throw me out of the house. it 
validation,WSL_0112,DV,WSL_0257,DV,0.6247,84737f17d209,778c3dee09a8,my stepfather keeps a knife in the house and threatens me wi,my brother-in-law keeps a knife in the house and threatens m
validation,WSL_0227,DV,WSL_0848,DV,0.8759,0214868a0b2e,9e5474d63fcc,my husband threatens to throw me out of the house. this has ,my in-laws threatens to throw me out of the house. this has 
validation,WSL_0920,SH,WSL_0138,SH,0.6861,f65321581892,f09d24791311,a man on the bus made suggestive comments while collecting m,my landlord made suggestive comments while collecting money.
validation,WSL_0104,OV,WSL_0799,OV,0.8004,4f2e45cd8ff8,60324652539f,a local group are threatening to harm me over a land dispute,my family are threatening to harm me over a land dispute.
validation,WSL_0422,WH,WSL_0016,WH,0.8828,a9bd438c9cae,9477ce6e1817,my supervisor keeps making comments implying i should be fri,my internship supervisor keeps making comments implying i sh
validation,WSL_0420,ST,WSL_0962,ST,0.7552,8b01fdf64d6d,2fecd4f5717d,a man i matched with on a dating app appears at my gym at th,a classmate appears at my gym at the exact same time every d
validation,WSL_0868,SH,WSL_0192,SH,0.6602,0ee68f781d04,aacb65911e11,a man at the gym made inappropriate comments during a privat,a stranger at the market made inappropriate comments during 
