id,narrative_text,DV,SH,ST,CA,WH,OV,ipc_bns_section,evidence_notes,source,label_vector,active_labels
WSL_0669,My landlord made lewd comments about my body.,0,1,0,0,0,0,354 IPC / 74 BNS,public/private harassment incident,Synthetic-Template,"[0, 1, 0, 0, 0, 0]",['SH']
WSL_0057,A former colleague has been parking outside my workplace every evening.,0,0,1,0,0,0,354D IPC / 78 BNS,repeated unwanted contact/presence,Synthetic-Template,"[0, 0, 1, 0, 0, 0]",['ST']
WSL_0852,A man I rejected tracks my location constantly and also created a fake profile to message me.,0,0,1,1,0,0,354D IPC / IT Act,combined ST and CA,Synthetic-Template,"[0, 0, 1, 1, 0, 0]","['ST', 'CA']"
WSL_0896,My community sent moneylenders to threaten me for repayment.,0,0,0,0,0,1,"Case-specific, not clearly mapped",requires further context,Synthetic-Template,"[0, 0, 0, 0, 0, 1]",['OV']
WSL_0723,My ex-partner is threatening to post my private photos online.,0,0,0,1,0,0,66E IT Act / 77 BNS,digital harassment/privacy violation,Synthetic-Template,"[0, 0, 0, 1, 0, 0]",['CA']
WSL_0087,A local group forced me into an early marriage.,0,0,0,0,0,1,"Case-specific, not clearly mapped",requires further context,Synthetic-Template,"[0, 0, 0, 0, 0, 1]",['OV']
WSL_0835,A relative at a family function made suggestive comments while collecting money.,0,1,0,0,0,0,354 IPC / 74 BNS,public/private harassment incident,Synthetic-Template,"[0, 1, 0, 0, 0, 0]",['SH']
WSL_0937,A man on the bus touched me inappropriately and acted like nothing happened.,0,1,0,0,0,0,354 IPC / 74 BNS,public/private harassment incident,Synthetic-Template,"[0, 1, 0, 0, 0, 0]",['SH']
WSL_0689,My in-laws grabbed me by the hair and hit my head against the wall. It has gotten worse in the last few months.,1,0,0,0,0,0,498A IPC / 85 BNS,physical/verbal abuse pattern,Synthetic-Template,"[1, 0, 0, 0, 0, 0]",['DV']
WSL_0335,A rickshaw driver exposed himself to me in public.,0,1,0,0,0,0,354 IPC / 74 BNS,public/private harassment incident,Synthetic-Template,"[0, 1, 0, 0, 0, 0]",['SH']
WSL_0399,My mother-in-law pushes and shoves me during every argument. It happens almost every week.,1,0,0,0,0,0,498A IPC / 85 BNS,physical/verbal abuse pattern,Synthetic-Template,"[1, 0, 0, 0, 0, 0]",['DV']
WSL_0140,My husband and his mother restricts me from speaking to my friends. It has gotten worse in the last few months.,1,0,0,0,0,0,498A IPC / 85 BNS,physical/verbal abuse pattern,Synthetic-Template,"[1, 0, 0, 0, 0, 0]",['DV']
WSL_0468,A man I rejected on a matrimonial site left notes on my car every day for two weeks.,0,0,1,0,0,0,354D IPC / 78 BNS,repeated unwanted contact/presence,Synthetic-Template,"[0, 0, 1, 0, 0, 0]",['ST']
WSL_0935,My landlord tried to start inappropriate conversations repeatedly.,0,1,0,0,0,0,354 IPC / 74 BNS,public/private harassment incident,Synthetic-Template,"[0, 1, 0, 0, 0, 0]",['SH']
WSL_0594,My husband threatened to kill me if I told my parents. I am scared to go home most days now.,1,0,0,0,0,0,498A IPC / 85 BNS,physical/verbal abuse pattern,Synthetic-Template,"[1, 0, 0, 0, 0, 0]",['DV']
WSL_0970,My ex-boyfriend has started waiting outside my apartment building.,0,0,1,0,0,0,354D IPC / 78 BNS,repeated unwanted contact/presence,Synthetic-Template,"[0, 0, 1, 0, 0, 0]",['ST']
WSL_0097,My community forced me into an early marriage.,0,0,0,0,0,1,"Case-specific, not clearly mapped",requires further context,Synthetic-Template,"[0, 0, 0, 0, 0, 1]",['OV']
WSL_0486,A man from my building waits outside my house every morning.,0,0,1,0,0,0,354D IPC / 78 BNS,repeated unwanted contact/presence,Synthetic-Template,"[0, 0, 1, 0, 0, 0]",['ST']
WSL_0219,My husband controls my finances and beats me and is blackmailing me with our private videos.,1,0,0,1,0,0,498A IPC / 66E IT Act,combined DV and CA,Synthetic-Template,"[1, 0, 0, 1, 0, 0]","['DV', 'CA']"
WSL_0345,My brother-in-law keeps demanding more dowry from my parents. I am scared to go home most days now.,1,0,0,0,0,0,498A IPC / 85 BNS,physical/verbal abuse pattern,Synthetic-Template,"[1, 0, 0, 0, 0, 0]",['DV']
WSL_0596,An anonymous account leaked my private photos online.,0,0,0,1,0,0,66E IT Act / 77 BNS,digital harassment/privacy violation,Synthetic-Template,"[0, 0, 0, 1, 0, 0]",['CA']
WSL_0363,A man from my building left notes on my car every day for two weeks.,0,0,1,0,0,0,354D IPC / 78 BNS,repeated unwanted contact/presence,Synthetic-Template,"[0, 0, 1, 0, 0, 0]",['ST']
WSL_0360,My in-laws are threatening me over a property dispute.,0,0,0,0,0,1,"Case-specific, not clearly mapped",requires further context,Synthetic-Template,"[0, 0, 0, 0, 0, 1]",['OV']
WSL_0334,A man on the bus catcalled and followed me for several blocks.,0,1,0,0,0,0,354 IPC / 74 BNS,public/private harassment incident,Synthetic-Template,"[0, 1, 0, 0, 0, 0]",['SH']
WSL_0266,A delivery man touched me inappropriately and acted like nothing happened.,0,1,0,0,0,0,354 IPC / 74 BNS,public/private harassment incident,Synthetic-Template,"[0, 1, 0, 0, 0, 0]",['SH']
WSL_0750,My in-laws humiliates me in front of guests every time they visit. It has gotten worse in the last few months.,1,0,0,0,0,0,498A IPC / 85 BNS,physical/verbal abuse pattern,Synthetic-Template,"[1, 0, 0, 0, 0, 0]",['DV']
WSL_0089,My in-laws physically abuse me regularly and are threatening my life over property.,1,0,0,0,0,1,498A IPC / case-specific,combined DV and OV,Synthetic-Template,"[1, 0, 0, 0, 0, 1]","['DV', 'OV']"
WSL_0735,My husband and his mother pushed me down the stairs during a fight. I am scared to go home most days now.,1,0,0,0,0,0,498A IPC / 85 BNS,physical/verbal abuse pattern,Synthetic-Template,"[1, 0, 0, 0, 0, 0]",['DV']
WSL_0071,My father-in-law pushed me down the stairs during a fight. This has been going on for over a year.,1,0,0,0,0,0,498A IPC / 85 BNS,physical/verbal abuse pattern,Synthetic-Template,"[1, 0, 0, 0, 0, 0]",['DV']
WSL_0712,My father-in-law keeps demanding more dowry from my parents. This started right after our marriage.,1,0,0,0,0,0,498A IPC / 85 BNS,physical/verbal abuse pattern,Synthetic-Template,"[1, 0, 0, 0, 0, 0]",['DV']
WSL_0969,My team lead keeps making sexual jokes and excludes me from meetings when I object.,0,1,0,0,1,0,354A IPC / POSH Act,combined SH and WH,Synthetic-Template,"[0, 1, 0, 0, 1, 0]","['SH', 'WH']"
WSL_1012,My in-laws treat me like a servant and hit me whenever they feel the housework isn't done to their standard.,1,0,0,0,0,0,498A IPC,diverse narrative style,Synthetic-Diverse,"[1, 0, 0, 0, 0, 0]",['DV']
WSL_0299,My in-laws are threatening my life over an inheritance dispute.,0,0,0,0,0,1,"Case-specific, not clearly mapped",requires further context,Synthetic-Template,"[0, 0, 0, 0, 0, 1]",['OV']
WSL_1069,"My parents have been trying to force me into a marriage arrangement, and when I refused, they threatened to cut off all contact and support.",0,0,0,0,0,1,Case-specific,diverse narrative style,Synthetic-Diverse,"[0, 0, 0, 0, 0, 1]",['OV']
WSL_0498,An anonymous account made lewd comments about me publicly online and knows personal details about me.,0,1,0,1,0,0,509 IPC / IT Act Sec 67,combined SH and CA,Synthetic-Template,"[0, 1, 0, 1, 0, 0]","['SH', 'CA']"
WSL_0052,Someone from college leaked my private photos online.,0,0,0,1,0,0,66E IT Act / 77 BNS,digital harassment/privacy violation,Synthetic-Template,"[0, 0, 0, 1, 0, 0]",['CA']
