id,text,annotations
WSL_0669,My landlord made lewd comments about my body.,"landlord -> PERP_REL [3,11] | lewd comments -> EVIDENCE [17,30]"
WSL_0057,A former colleague has been parking outside my workplace every evening.,"former colleague -> PERP_REL [2,18] | workplace -> LOCATION [47,56] | every evening -> TIME_FREQ [57,70]"
WSL_0852,A man I rejected tracks my location constantly and also created a fake profile to message me.,"constantly -> TIME_FREQ [36,46] | fake profile -> PLATFORM [66,78] | message -> PLATFORM [82,89]"
WSL_0896,My community sent moneylenders to threaten me for repayment.,"community -> PERP_REL [3,12] | moneylenders -> PERP_REL [18,30]"
WSL_0723,My ex-partner is threatening to post my private photos online.,"ex-partner -> PERP_REL [3,13] | threatening to post -> EVIDENCE [17,36] | private photos -> EVIDENCE [40,54] | online -> PLATFORM [55,61]"
WSL_0087,A local group forced me into an early marriage.,"local group -> PERP_REL [2,13]"
WSL_0835,A relative at a family function made suggestive comments while collecting money.,"relative -> PERP_REL [2,10] | family function -> LOCATION [16,31] | suggestive comments -> EVIDENCE [37,56]"
WSL_0937,A man on the bus touched me inappropriately and acted like nothing happened.,"bus -> LOCATION [13,16] | touched me inappropriately -> EVIDENCE [17,43]"
WSL_0689,My in-laws grabbed me by the hair and hit my head against the wall. It has gotten worse in the last few months.,"in-laws -> PERP_REL [3,10] | grabbed me by the hair -> EVIDENCE [11,33] | hit my head against the wall -> EVIDENCE [38,66] | in the last few months -> TIME_FREQ [88,110]"
WSL_0335,A rickshaw driver exposed himself to me in public.,"rickshaw driver -> PERP_REL [2,17] | exposed himself -> EVIDENCE [18,33]"
WSL_0399,My mother-in-law pushes and shoves me during every argument. It happens almost every week.,"mother-in-law -> PERP_REL [3,16] | pushes and shoves me -> EVIDENCE [17,37] | every argument -> TIME_FREQ [45,59] | almost every week -> TIME_FREQ [72,89]"
WSL_0140,My husband and his mother restricts me from speaking to my friends. It has gotten worse in the last few months.,"husband -> PERP_REL [3,10] | in the last few months -> TIME_FREQ [88,110]"
WSL_0468,A man I rejected on a matrimonial site left notes on my car every day for two weeks.,"matrimonial site -> PLATFORM [22,38] | notes on my car -> EVIDENCE [44,59] | every day -> TIME_FREQ [60,69] | for two weeks -> TIME_FREQ [70,83]"
WSL_0935,My landlord tried to start inappropriate conversations repeatedly.,"landlord -> PERP_REL [3,11] | repeatedly -> TIME_FREQ [55,65]"
WSL_0594,My husband threatened to kill me if I told my parents. I am scared to go home most days now.,"husband -> PERP_REL [3,10] | threatened to kill me -> EVIDENCE [11,32] | parents -> PERP_REL [46,53] | home -> LOCATION [73,77] | most days -> TIME_FREQ [78,87]"
WSL_0970,My ex-boyfriend has started waiting outside my apartment building.,"ex-boyfriend -> PERP_REL [3,15] | apartment building -> LOCATION [47,65]"
WSL_0097,My community forced me into an early marriage.,"community -> PERP_REL [3,12]"
WSL_0486,A man from my building waits outside my house every morning.,"building -> LOCATION [14,22] | house -> LOCATION [40,45] | every morning -> TIME_FREQ [46,59]"
WSL_0219,My husband controls my finances and beats me and is blackmailing me with our private videos.,"husband -> PERP_REL [3,10] | beats me -> EVIDENCE [36,44] | blackmailing me -> EVIDENCE [52,67] | private videos -> EVIDENCE [77,91]"
WSL_0345,My brother-in-law keeps demanding more dowry from my parents. I am scared to go home most days now.,"brother-in-law -> PERP_REL [3,17] | parents -> PERP_REL [53,60] | home -> LOCATION [80,84] | most days -> TIME_FREQ [85,94]"
WSL_0596,An anonymous account leaked my private photos online.,"leaked my private photos -> EVIDENCE [21,45] | online -> PLATFORM [46,52]"
WSL_0363,A man from my building left notes on my car every day for two weeks.,"building -> LOCATION [14,22] | notes on my car -> EVIDENCE [28,43] | every day -> TIME_FREQ [44,53] | for two weeks -> TIME_FREQ [54,67]"
WSL_0360,My in-laws are threatening me over a property dispute.,"in-laws -> PERP_REL [3,10]"
