incident_id,narrative_text,token_length,word_count,true_labels,predicted_labels,true_positives,false_positives,false_negatives,match_type,probabilities_json
TEST_0011,My brother-in-law drags me by the hair whenever dinner is late.,19,11,DV,,,,DV,Zero Prediction,"{""DV"": 0.6449, ""SH"": 0.3923, ""ST"": 0.422, ""CA"": 0.2638, ""WH"": 0.4132, ""OV"": 0.5686}"
TEST_0014,"During my internship, a senior employee kept finding excuses to stand too close to me and once touched my back without permission.",26,22,SH,"SH,WH",SH,WH,,Partial Match,"{""DV"": 0.3467, ""SH"": 0.64, ""ST"": 0.5159, ""CA"": 0.5008, ""WH"": 0.5669, ""OV"": 0.1933}"
TEST_0024,A stranger online sent me obscene images repeatedly despite me blocking multiple accounts.,16,13,"SH,CA",CA,CA,,SH,Partial Match,"{""DV"": 0.3522, ""SH"": 0.5712, ""ST"": 0.5849, ""CA"": 0.7874, ""WH"": 0.5053, ""OV"": 0.1717}"
TEST_0026,A local group threatened to disown me over my relationship choice.,16,11,OV,,,,OV,Zero Prediction,"{""DV"": 0.6475, ""SH"": 0.3783, ""ST"": 0.3237, ""CA"": 0.2396, ""WH"": 0.4419, ""OV"": 0.7649}"
TEST_0032,My manager sends me inappropriate messages on our work chat.,13,10,WH,"CA,WH",WH,CA,,Partial Match,"{""DV"": 0.3367, ""SH"": 0.5517, ""ST"": 0.6182, ""CA"": 0.7431, ""WH"": 0.5564, ""OV"": 0.1572}"
TEST_0034,An anonymous account made lewd comments about me publicly online despite me blocking multiple accounts.,19,15,"SH,CA",CA,CA,,SH,Partial Match,"{""DV"": 0.3564, ""SH"": 0.5829, ""ST"": 0.5504, ""CA"": 0.7956, ""WH"": 0.5132, ""OV"": 0.1837}"
TEST_0037,My in-laws locked me in a room to stop me meeting someone.,17,12,OV,DV,,DV,OV,Mismatch,"{""DV"": 0.6613, ""SH"": 0.3823, ""ST"": 0.3286, ""CA"": 0.2369, ""WH"": 0.4285, ""OV"": 0.7641}"
TEST_0038,My driving instructor groped me and disappeared into the crowd.,14,10,SH,"SH,WH",SH,WH,,Partial Match,"{""DV"": 0.3479, ""SH"": 0.6281, ""ST"": 0.4998, ""CA"": 0.4727, ""WH"": 0.5485, ""OV"": 0.2362}"
TEST_0041,A stranger online sends me sexually explicit messages and also threatened to find where I live.,19,16,"SH,CA",CA,CA,,SH,Partial Match,"{""DV"": 0.3608, ""SH"": 0.5754, ""ST"": 0.5706, ""CA"": 0.7926, ""WH"": 0.5105, ""OV"": 0.1808}"
TEST_0050,"An anonymous account has been sending me explicit messages for weeks, and recently the person revealed they know my home address.",25,21,"SH,CA",CA,CA,,SH,Partial Match,"{""DV"": 0.369, ""SH"": 0.5594, ""ST"": 0.5903, ""CA"": 0.7989, ""WH"": 0.505, ""OV"": 0.1796}"
TEST_0051,My ex keeps following me everywhere I go and also created a fake profile to message me.,20,17,"ST,CA",CA,CA,,ST,Partial Match,"{""DV"": 0.3779, ""SH"": 0.5361, ""ST"": 0.633, ""CA"": 0.7916, ""WH"": 0.4927, ""OV"": 0.1658}"
TEST_0054,My husband humiliates me in front of guests every time they visit.,17,12,DV,,,,DV,Zero Prediction,"{""DV"": 0.5834, ""SH"": 0.4422, ""ST"": 0.3834, ""CA"": 0.2591, ""WH"": 0.4418, ""OV"": 0.5706}"
TEST_0061,A senior colleague makes inappropriate comments about my appearance and excludes me from meetings when I object.,21,17,"SH,WH",WH,WH,,SH,Partial Match,"{""DV"": 0.3403, ""SH"": 0.5566, ""ST"": 0.4838, ""CA"": 0.4719, ""WH"": 0.6587, ""OV"": 0.2003}"
TEST_0066,"After my husband lost his job, he started drinking heavily and has become violent toward me almost every night.",23,19,DV,,,,DV,Zero Prediction,"{""DV"": 0.5615, ""SH"": 0.4705, ""ST"": 0.4327, ""CA"": 0.2781, ""WH"": 0.3904, ""OV"": 0.4694}"
TEST_0080,An anonymous account sends me sexually explicit messages despite me blocking multiple accounts.,16,13,"SH,CA",CA,CA,,SH,Partial Match,"{""DV"": 0.3583, ""SH"": 0.5786, ""ST"": 0.5681, ""CA"": 0.7996, ""WH"": 0.5177, ""OV"": 0.1761}"
TEST_0082,"My husband has been hitting me for years, and last week he threatened to share our private photos with my entire family if I ever tried to leave.",32,28,"DV,CA",,,,"DV,CA",Zero Prediction,"{""DV"": 0.5803, ""SH"": 0.4808, ""ST"": 0.5535, ""CA"": 0.4621, ""WH"": 0.4077, ""OV"": 0.362}"
TEST_0083,A classmate has started waiting outside my apartment building.,12,9,ST,,,,ST,Zero Prediction,"{""DV"": 0.3359, ""SH"": 0.4907, ""ST"": 0.6189, ""CA"": 0.4946, ""WH"": 0.4934, ""OV"": 0.2224}"
TEST_0095,Someone from college keeps following me everywhere I go and now sends me threatening messages online.,19,16,"ST,CA",CA,CA,,ST,Partial Match,"{""DV"": 0.3894, ""SH"": 0.5377, ""ST"": 0.6353, ""CA"": 0.7823, ""WH"": 0.4887, ""OV"": 0.1673}"
TEST_0097,My ex keeps following me everywhere I go and posted my photos without consent.,17,14,"ST,CA",CA,CA,,ST,Partial Match,"{""DV"": 0.3925, ""SH"": 0.5464, ""ST"": 0.628, ""CA"": 0.7827, ""WH"": 0.496, ""OV"": 0.1657}"
TEST_0106,My ex tracks my location constantly and also created a fake profile to message me.,18,15,"ST,CA",CA,CA,,ST,Partial Match,"{""DV"": 0.3661, ""SH"": 0.5493, ""ST"": 0.6126, ""CA"": 0.8017, ""WH"": 0.5051, ""OV"": 0.1719}"
TEST_0112,A man I matched with on a dating app found my home address and shows up unannounced.,23,17,ST,"ST,CA",ST,CA,,Partial Match,"{""DV"": 0.3782, ""SH"": 0.531, ""ST"": 0.681, ""CA"": 0.7254, ""WH"": 0.4629, ""OV"": 0.1547}"
TEST_0121,"Since my husband's passing, distant relatives have been harassing me to give up my rightful share of the property.",26,19,OV,DV,,DV,OV,Mismatch,"{""DV"": 0.675, ""SH"": 0.3757, ""ST"": 0.3421, ""CA"": 0.2418, ""WH"": 0.4217, ""OV"": 0.7733}"
TEST_0138,My manager keeps making sexual jokes in front of the entire team.,15,12,"SH,WH",WH,WH,,SH,Partial Match,"{""DV"": 0.3751, ""SH"": 0.5533, ""ST"": 0.476, ""CA"": 0.4067, ""WH"": 0.6099, ""OV"": 0.2532}"
TEST_0144,My husband physically abuses me and threatened to post my private photos online.,16,13,"DV,CA",CA,CA,,DV,Partial Match,"{""DV"": 0.4042, ""SH"": 0.5703, ""ST"": 0.5946, ""CA"": 0.7821, ""WH"": 0.489, ""OV"": 0.1771}"
TEST_0146,My father-in-law humiliates me in front of guests every time they visit.,21,12,DV,,,,DV,Zero Prediction,"{""DV"": 0.6491, ""SH"": 0.3779, ""ST"": 0.3552, ""CA"": 0.251, ""WH"": 0.4172, ""OV"": 0.642}"
TEST_0149,My ex tracks my location constantly and posted my photos without consent.,15,12,"ST,CA",CA,CA,,ST,Partial Match,"{""DV"": 0.3804, ""SH"": 0.5447, ""ST"": 0.6269, ""CA"": 0.7971, ""WH"": 0.5001, ""OV"": 0.1691}"
TEST_0161,My physiotherapist forced himself on me despite me saying no clearly.,19,11,SH,"SH,WH",SH,WH,,Partial Match,"{""DV"": 0.4343, ""SH"": 0.6739, ""ST"": 0.4315, ""CA"": 0.4082, ""WH"": 0.5637, ""OV"": 0.2747}"
